neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,link
,,,,https://divar.ir/v/-/QZodrQ_t
تهران‌سر,۶۵,۱۳۸۷,۱,,,۱,آسانسور ندارد,پارکینگ,انباری,https://divar.ir/v/-/QZb5h2Iz
بهار,۶۰,۱۳۹۵,۱,,,۱ از ۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZsJZpil
سعادت‌آباد,۱۰۷,۱۳۹۸,۱,۲۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۲۴٬۲۹۹٬۰۰۰ تومان,۷ از ۱۲,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZuh_3zY
,۹۵,۱۳۹۳,۲,۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۲۱۰٬۰۰۰ تومان,۱ از ۴,آسانسور,پارکینگ ندارد,انباری,https://divar.ir/v/-/QZml-NWd
شمس‌آباد,۱۱۰,۱۳۸۵,بدون اتاق,,,۱,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,https://divar.ir/v/-/QZkxfHKF
استاد معین,,,,,,,,,,https://divar.ir/v/-/QZe5iBgG
سهروردی,۹۰,۱۳۸۷,۲,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸۸٬۸۸۸٬۰۰۰ تومان,۳,آسانسور,پارکینگ ندارد,انباری,https://divar.ir/v/-/QZul_YK5
,۹۰۰,۱,,,,,,,,https://divar.ir/v/-/QZyk3nBw
نیاوران,۱۲۰,۱۳۹۳,۲,۱۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۰٬۰۰۰٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZuFvBIp
شهرک ولیعصر,۱۸,۱۴۰۰,بدون اتاق,توافقی,,,,,,https://divar.ir/v/-/QZtJNKEX
,۸۷,۱۴۰۰,۲,,,۸,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZs8t19p
,۸۹,۱۳۹۹,۲,۲٬۳۷۰٬۰۰۰٬۰۰۰ تومان,۲۶٬۶۲۹٬۰۰۰ تومان,۷ از ۱۴,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/AZ1uQ-IJ
شوش,۵۹,۱۳۸۹,۱,۱٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۳۵۵٬۰۰۰ تومان,۱ از ۴,آسانسور ندارد,پارکینگ ندارد,انباری,https://divar.ir/v/-/QZtlcFFJ
اباذر,۱۱۳,۱۳۸۳,۲,۱۰٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۹۱٬۱۵۰٬۰۰۰ تومان,۵ از ۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZsFklW1
,۷۳,۱۳۸۸,۲,۲٬۰۴۴٬۰۰۰٬۰۰۰ تومان,۲۸٬۰۰۰٬۰۰۰ تومان,۱ از ۳,آسانسور ندارد,پارکینگ,انباری,https://divar.ir/v/-/QZulPimE
سعادت‌آباد,۱۸۰,۱۳۹۲,۳,,,۱ از ۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZo58wYr
مرزداران,۱۸۰,۱۴۰۰,۳,,,۵ از ۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZpBad1g
اتابک,۵۹,۱۳۹۶,۱,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۲۸۸٬۰۰۰ تومان,۳ از ۴,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZhBdhqg
ولنجک,۱۰۰,۲,,,,,,,,https://divar.ir/v/-/QZulvXjY
جیحون,۸۶,۱۳۸۷,۲,,,۴,آسانسور ندارد,پارکینگ ندارد,انباری,https://divar.ir/v/-/QZhJrlY9
نیاوران,,,,۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱٬۸۷۶٬۰۰۰ تومان,,,,,https://divar.ir/v/-/QZulfiZd
سعادت‌آباد,۷۲,۱۳۹۵,۱,,,,,,,https://divar.ir/v/-/QZrJBE2H
,۱۱۰,۱۳۹۰,۲,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۰۹۰٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZulPQrM
,۲۵۰,۱۳۹۹,۴,۱۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۲۲۲٬۰۰۰ تومان,,پارکینگ,انباری,بالکن,https://divar.ir/v/-/QZulvaSg
شهرک غرب,۱۱۰,۱۳۸۵,۲,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۷٬۲۷۲٬۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZulPcQT
,۸۰,۱۳۹۷,۲,۱٬۶۲۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۲۵۰٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZRxuna4
هروی,۲۳۵,۱۳۹۲,۳,,,۱ از ۶,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZstq3NC
صادقیه,۱۲۰۰,۳,,,,,,,,https://divar.ir/v/-/QZTRj4jB
نیاوران,۲۲۰,۱۳۹۲,۳,,,۸,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZul_Vgs
سعادت‌آباد,۱۲۰,۱۳۹۷,۳,,,۱,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZulPdEQ
جنت‌آباد جنوبی,۷۰,۱۳۸۰,۲,,,۳ از ۵,آسانسور,پارکینگ ندارد,انباری,https://divar.ir/v/-/QZuh_Yj7
زعفرانیه,۳۰۰,۱۴۰۲,۳,,,۶,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZul_S9O
,۸۸,۱۴۰۰,۲,۲٬۰۷۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۵۲۲٬۰۰۰ تومان,۱ از ۱۴,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZ6YhN_V
تهرانپارس غربی,۲۶۰,۱۴۰۲,۳,,,۵ از ۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZulPA4p
اکباتان,۱۴۰,قبل از ۱۳۷۰,۲,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۷۸٬۵۷۱٬۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZulvmeG
,۶۳,۱۳۹۷,۲,,,۳,آسانسور ندارد,پارکینگ ندارد,انباری,https://divar.ir/v/-/QZul_MYO
,۷۰,۱۳۹۴,۲,۱٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۱۴۲٬۰۰۰ تومان,۲ از ۳,آسانسور ندارد,پارکینگ,انباری,https://divar.ir/v/-/QZul_gbT
,۱۳۰,۱۳۹۹,۲,,,۱,آسانسور ندارد,پارکینگ,انباری,https://divar.ir/v/-/QZulPXpL
صد دستگاه,۹۸,۱۴۰۰,۲,,,۱ از ۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZsZULIH
دولت‌آباد,۱۱۵,۱۴۰۲,۲,۶٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۶۰٬۰۰۰٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری ندارد,https://divar.ir/v/-/QZdBr1d3
,۴۸,۱۳۹۸,۱,۱٬۰۶۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۰۸۳٬۰۰۰ تومان,۵ از ۵,آسانسور,پارکینگ ندارد,انباری,https://divar.ir/v/-/QZGdBawn
