neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,link,city,post_type,post_time
7k,تهران,اجارهٔ خانه و ویلا,لحظاتی پیش در تهران، شهرک غرب
,,,,۶۸۰٬۰۰۰٬۰۰۰ تومان,۱٬۶۵۸٬۰۰۰ تومان,,,,,https://divar.ir/v/-/AZ13d_BZ,پردیس,فروش زمین و کلنگی,لحظاتی پیش در پردیس
بهار,۱۴۰,۱۴۰۲,۳,,,۶,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZvVj2h1,تهران,اجارهٔ آپارتمان,لحظاتی پیش در تهران، بهار
هاشمی,۵۰,۱۳۹۷,۱,,,۳ از ۵,آسانسور,پارکینگ ندارد,انباری ندارد,https://divar.ir/v/-/QZvVj5LQ,تهران,اجارهٔ آپارتمان,لحظاتی پیش در تهران، هاشمی
سعادت‌آباد,۱۶۰,۱۳۸۹,۳,,,۳,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZvZTddR,تهران,اجارهٔ آپارتمان,لحظاتی پیش در تهران، سعادت‌آباد
,۵۰,۱۳۸۹,۱,۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۰۰۰٬۰۰۰ تومان,۴,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,https://divar.ir/v/-/QZvZjWjp,اسلام‌شهر,فروش آپارتمان,لحظاتی پیش در اسلام‌شهر
سلسبیل,۸۹,۱۴۰۲,۲,۶٬۲۷۵٬۰۰۰٬۰۰۰ تومان,۷۰٬۵۰۵٬۰۰۰ تومان,۲ از ۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZpZctNw,تهران,فروش آپارتمان,لحظاتی پیش در تهران، سلسبیل
,,,,۴۷۰٬۰۰۰٬۰۰۰ تومان,۲٬۲۳۸٬۰۰۰ تومان,,,,,https://divar.ir/v/-/AZ1rdh5C,پردیس,فروش زمین و کلنگی,لحظاتی پیش در پردیس
سعادت‌آباد,۱۶۰,۱۳۹۸,۳,,,۴,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZvZzac5,تهران,اجارهٔ آپارتمان,لحظاتی پیش در تهران، سعادت‌آباد
جنت‌آباد شمالی,۵۴,۱۳۸۵,۲,۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۷۷٬۷۷۷٬۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZkh25oQ,تهران,فروش آپارتمان,لحظاتی پیش در تهران، جنت‌آباد شمالی
شهران شمالی,۷۵,۱۳۸۲,۲,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸۰٬۰۰۰٬۰۰۰ تومان,۲,آسانسور ندارد,پارکینگ,انباری,https://divar.ir/v/-/QZv9C4Pv,تهران,فروش آپارتمان,لحظاتی پیش در تهران، شهران شمالی
,۸۷,۱۴۰۰,۲,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۵۶۳٬۰۰۰ تومان,۴ از ۱۴,آسانسور,پارکینگ,انباری,https://divar.ir/v/-/QZdMUJoC,پردیس,فروش آپارتمان,لحظاتی پیش در پردیس
