neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
سانسور,پارکینگ,انباری,پردیس,فروش آپارتمان,لحظاتی پیش در پردیس,https://divar.ir/v/-/QZaRTxu0
سعادت‌آباد,۱۰۰,۱۴۰۰,۲,,,۱,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,لحظاتی پیش در تهران، سعادت‌آباد,https://divar.ir/v/-/QZrBlBfO
شهرک ابوذر,۶۰۰,۱۳۹۶,۱,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۳۳۳٬۰۰۰ تومان,,,,,تهران,فروش مغازه و غرفه,لحظاتی پیش در تهران، شهرک ابوذر,https://divar.ir/v/-/QZvJEn7y
,۱۱۷,۱۴۰۲,۳,۵٬۱۴۸٬۰۰۰٬۰۰۰ تومان,۴۴٬۰۰۰٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری,شهریار,فروش آپارتمان,دقایقی پیش در شهریار,https://divar.ir/v/-/QZb1ApWP
فرمانیه,۹۰,۲,,,,,,,,تهران,اجارهٔ کوتاه مدت آپارتمان و سوئیت,دقایقی پیش در تهران، فرمانیه,https://divar.ir/v/-/QZQ9Hy5q
ولنجک,۲۰۵,۱۳۸۷,۳,,,۵ از ۵,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، ولنجک,https://divar.ir/v/-/QZlB8oFu
امامزاده حسن(ع),۷۵,قبل از ۱۳۷۰,۱,,,,,,,تهران,اجارهٔ مغازه و غرفه,دقایقی پیش در تهران، امامزاده حسن(ع),https://divar.ir/v/-/QZvJ0PxZ
سعادت‌آباد,۱۴۰,۱۳۹۲,۳,,,۲,آسانسور,پارکینگ,انباری ندارد,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، سعادت‌آباد,https://divar.ir/v/-/QZoZ5Ond
,۷۰,۱۳۹۷,۲,,,۳ از ۵,آسانسور,پارکینگ ندارد,انباری,نسیم‌شهر,اجارهٔ آپارتمان,دقایقی پیش در نسیم‌شهر,https://divar.ir/v/-/QZpFNSPB
دریا,۳۳۰,۱۴۰۰,۴,,,۱,آسانسور,پارکینگ,انباری,تهران,اجارهٔ دفتر کار، اتاق اداری و مطب,دقایقی پیش در تهران، دریا,https://divar.ir/v/-/QZBdhepq
,۶۴,۱۳۹۳,۱,۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۹۳۷٬۰۰۰ تومان,۳,آسانسور,پارکینگ ندارد,انباری,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZsFz3Iw
زعفرانیه,۸۳,۱۳۸۸,۲,,,۵,آسانسور,پارکینگ,انباری,تهران,اجارهٔ دفتر کار، اتاق اداری و مطب,دقایقی پیش در تهران، زعفرانیه,https://divar.ir/v/-/QZmtNWPn
قیطریه,۱۷۰,۱۳۹۸,۳,,,۲,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، قیطریه,https://divar.ir/v/-/QZvJEkw9
اختیاریه,۷۰۰,۱۳۷۲,+۴,۱۸۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۲۷٬۲۷۲٬۰۰۰ تومان,,پارکینگ,انباری ندارد,بالکن ندارد,تهران,فروش خانه و ویلا,دقایقی پیش در تهران، اختیاریه,https://divar.ir/v/-/QZvJkpgM
,۶۱,۱۳۸۶,۱,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۸۶۸٬۰۰۰ تومان,۳,آسانسور,پارکینگ ندارد,انباری,شهریار,فروش آپارتمان,دقایقی پیش در شهریار,https://divar.ir/v/-/QZoBZaQ0
,۳۰۰,۱۳۹۵,۱,۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۳٬۳۳۳٬۰۰۰ تومان,۲ از ۳,آسانسور ندارد,پارکینگ,انباری,اندیشه,فروش آپارتمان,دقایقی پیش در اندیشه,https://divar.ir/v/-/QZvJkeqQ
,۸۵,۱۳۹۵,۱,,,۵,آسانسور,پارکینگ,انباری ندارد,فشم,اجارهٔ آپارتمان,دقایقی پیش در فشم,https://divar.ir/v/-/QZvJEQIM
نازی‌آباد,۵۰,۱۳۹۸,۱,,,۳,آسانسور ندارد,پارکینگ ندارد,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، نازی‌آباد,https://divar.ir/v/-/QZvJUsCM
شهران جنوبی,۵۹,۱۳۸۵,۱,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۸۶٬۴۴۰٬۰۰۰ تومان,۲ از ۴,آسانسور ندارد,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، شهران جنوبی,https://divar.ir/v/-/QZvJEoN8
دریاچه شهدای خلیج فارس,,,,,,,,,,تهران,پیش‌فروش ملک,دقایقی پیش در تهران، دریاچه شهدای خلیج فارس,https://divar.ir/v/-/QZrFl1p2
بلوار کشاورز,۳۰,بدون اتاق,,,,,,,,تهران,اجارهٔ کوتاه مدت آپارتمان و سوئیت,دقایقی پیش در تهران، بلوار کشاورز,https://divar.ir/v/-/AZuvwPGY
شهرک والفجر (منطقه ۶),۱۴۹,۱۴۰۲,۳,۲۳٬۸۴۰٬۰۰۰٬۰۰۰ تومان,۱۶۰٬۰۰۰٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، شهرک والفجر (منطقه ۶),https://divar.ir/v/-/AZ0lJNFd
هروی,۱۹۰,۱۴۰۲,۳,,,۴ از ۵,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، هروی,https://divar.ir/v/-/QZcRNJu4
قیطریه,۲۰۰,۱۳۸۰,۳,,,۳ از ۵,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، قیطریه,https://divar.ir/v/-/QZvFkolx
,۹۰,۱۴۰۲,۲,۱٬۵۴۰٬۰۰۰٬۰۰۰ تومان,۱۷٬۱۱۱٬۰۰۰ تومان,همکف از ۴,آسانسور,پارکینگ,انباری,پرند,فروش آپارتمان,دقایقی پیش در پرند,https://divar.ir/v/-/QZ00tiNv
