neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
ان,۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، مرزداران,https://divar.ir/v/-/QZi9OMXc
,,,,توافقی,,,,,,رودهن,فروش زمین و کلنگی,دقایقی پیش در رودهن,https://divar.ir/v/-/QZvZ0u3-
,۷۵,۱۳۹۶,۱,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۱۱۱٬۰۰۰ تومان,,پارکینگ ندارد,انباری,بالکن ندارد,قرچک,فروش خانه و ویلا,لحظاتی پیش در قرچک,https://divar.ir/v/-/QZsVq_G5
ولنجک,۱۳۰,۱۳۸۷,۲,۱۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۰٬۷۶۹٬۰۰۰ تومان,۲ از ۱۱,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، ولنجک,https://divar.ir/v/-/QZvZ0x9f
سعادت‌آباد,۱۲۱,۱۴۰۰,۳,۲۶٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۲۲۲٬۳۱۴٬۰۰۰ تومان,۳ از ۴,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، سعادت‌آباد,https://divar.ir/v/-/QZZ5Q8xx
زعفرانیه,۱۷۵,۱۳۹۳,۳,,,۴,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، زعفرانیه,https://divar.ir/v/-/QZvZEhqm
سازمان برنامه,۵۶,۱۳۸۸,۱,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۸۰٬۳۵۷٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، سازمان برنامه,https://divar.ir/v/-/QZddqEpG
کوی فراز,۱۵۸,۱۳۹۵,۳,۲۰٬۵۴۰٬۰۰۰٬۰۰۰ تومان,۱۳۰٬۰۰۰٬۰۰۰ تومان,۵ از ۱۱,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، کوی فراز,https://divar.ir/v/-/QZo8A-hR
,۸۵,۱۳۹۸,۲,,,۳ از ۱۵,آسانسور,پارکینگ ندارد,انباری,پردیس,اجارهٔ آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZvZkjDo
جنت‌آباد مرکزی,۸۶,۱۴۰۲,۲,۱۰٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۱۲۱٬۵۱۱٬۰۰۰ تومان,۴ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، جنت‌آباد مرکزی,https://divar.ir/v/-/QZuBeT6T
