neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
 تهران، دهکده المپیک,https://divar.ir/v/-/QZm5D-ew
,,,,توافقی,,,,,,رودهن,فروش زمین و کلنگی,دقایقی پیش در رودهن,https://divar.ir/v/-/QZvZ0u3-
منیریه,,,,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶٬۰۰۰٬۰۰۰ تومان,,,,,تهران,فروش دفاتر صنعتی، کشاورزی و تجاری,دقایقی پیش در تهران، منیریه,https://divar.ir/v/-/QZvZUqY-
,۷۵,۱۳۹۶,۱,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۱۱۱٬۰۰۰ تومان,,پارکینگ ندارد,انباری,بالکن ندارد,قرچک,فروش خانه و ویلا,لحظاتی پیش در قرچک,https://divar.ir/v/-/QZsVq_G5
ولنجک,۱۳۰,۱۳۸۷,۲,۱۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۰٬۷۶۹٬۰۰۰ تومان,۲ از ۱۱,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، ولنجک,https://divar.ir/v/-/QZvZ0x9f
سازمان برنامه,۵۶,۱۳۸۸,۱,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۸۰٬۳۵۷٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، سازمان برنامه,https://divar.ir/v/-/QZddqEpG
کوی فراز,۱۵۸,۱۳۹۵,۳,۲۰٬۵۴۰٬۰۰۰٬۰۰۰ تومان,۱۳۰٬۰۰۰٬۰۰۰ تومان,۵ از ۱۱,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، کوی فراز,https://divar.ir/v/-/QZo8A-hR
قیطریه,۸۲,۱۴۰۰,۲,۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۲۴۳٬۰۰۰ تومان,۳ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، قیطریه,https://divar.ir/v/-/QZuJ-Q2w
تهران‌سر,,,,۶۹۰٬۰۰۰٬۰۰۰ تومان,۲٬۳۰۰٬۰۰۰ تومان,,,,,تهران,فروش زمین و کلنگی,دقایقی پیش در تهران، تهران‌سر,https://divar.ir/v/-/QZtlNTmJ
ازگل,۱۴۵,۱۳۸۶,۳,۱۵٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۱۰۸٬۶۲۰٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، ازگل,https://divar.ir/v/-/QZvZE73p
