neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
تومان,۴,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، جنت‌آباد جنوبی,https://divar.ir/v/-/QZvZE6Jn
سعادت‌آباد,۲۵۰,۱۳۹۴,بدون اتاق,,,,,,,تهران,اجارهٔ مغازه و غرفه,دقایقی پیش در تهران، سعادت‌آباد,https://divar.ir/v/-/QZhN8hZv
,,,,توافقی,,,,,,رودهن,فروش زمین و کلنگی,دقایقی پیش در رودهن,https://divar.ir/v/-/QZvZ0u3-
سعادت‌آباد,,,,۴۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۲۰٬۰۶۲٬۰۰۰ تومان,,,,,تهران,فروش زمین و کلنگی,لحظاتی پیش در تهران، سعادت‌آباد,https://divar.ir/v/-/QZkJ2QGF
,۷۵,۱۳۹۶,۱,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۱۱۱٬۰۰۰ تومان,,پارکینگ ندارد,انباری,بالکن ندارد,قرچک,فروش خانه و ویلا,دقایقی پیش در قرچک,https://divar.ir/v/-/QZsVq_G5
ولنجک,۱۳۰,۱۳۸۷,۲,۱۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۰٬۷۶۹٬۰۰۰ تومان,۲ از ۱۱,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، ولنجک,https://divar.ir/v/-/QZvZ0x9f
کوی فراز,۱۵۸,۱۳۹۵,۳,۲۰٬۵۴۰٬۰۰۰٬۰۰۰ تومان,۱۳۰٬۰۰۰٬۰۰۰ تومان,۵ از ۱۱,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، کوی فراز,https://divar.ir/v/-/QZo8A-hR
,,,,۴۶۰٬۰۰۰٬۰۰۰ تومان,۱۱٬۵۰۰٬۰۰۰ تومان,,,,,قرچک,فروش زمین و کلنگی,لحظاتی پیش در قرچک,https://divar.ir/v/-/QZTRbdFq
قیطریه,۸۲,۱۴۰۰,۲,۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۲۴۳٬۰۰۰ تومان,۳ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، قیطریه,https://divar.ir/v/-/QZuJ-Q2w
تهران‌سر,,,,۶۹۰٬۰۰۰٬۰۰۰ تومان,۲٬۳۰۰٬۰۰۰ تومان,,,,,تهران,فروش زمین و کلنگی,دقایقی پیش در تهران، تهران‌سر,https://divar.ir/v/-/QZtlNTmJ
دریاچه شهدای خلیج فارس,۱۱۴,۱۳۹۶,۲,۷٬۷۱۰٬۰۰۰٬۰۰۰ تومان,۶۷٬۶۳۱٬۰۰۰ تومان,۴ از ۱۱,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، دریاچه شهدای خلیج فارس,https://divar.ir/v/-/QZQxrcwu
ازگل,۱۴۵,۱۳۸۶,۳,۱۵٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۱۰۸٬۶۲۰٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، ازگل,https://divar.ir/v/-/QZvZE73p
چیتگر,۵۸,۱۳۸۰,۱,۳٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۵۸٬۶۲۰٬۰۰۰ تومان,۱ از ۳,آسانسور ندارد,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، چیتگر,https://divar.ir/v/-/QZc59RYF
,۶۸,۱۳۹۵,۲,۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۴٬۷۰۵٬۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری,شهریار,فروش آپارتمان,دقایقی پیش در شهریار,https://divar.ir/v/-/QZSt1T2O
مسعودیه,۴۳,۱۳۸۰,۱,۱٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۳۷۲٬۰۰۰ تومان,۲,آسانسور ندارد,پارکینگ ندارد,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، مسعودیه,https://divar.ir/v/-/QZvZUxCc
چیتگر,۱۲۰,۱۴۰۲,۳,۱٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۱۱٬۲۵۰٬۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، چیتگر,https://divar.ir/v/-/QZvdEETO
الهیه,۴۳۰,۱۴۰۲,۴,۲۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰ از ۴,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، الهیه,https://divar.ir/v/-/QZvdkC1Y
,۷۶,۱۳۹۳,۲,۱٬۹۶۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۷۸۹٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری,اندیشه,فروش آپارتمان,دقایقی پیش در اندیشه,https://divar.ir/v/-/QZHdlPZ-
,۱۰۵,۱۴۰۰,۲,۲٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۲۳۸٬۰۰۰ تومان,۱ از ۵,آسانسور,پارکینگ,انباری,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZvBEWlG
تهران‌نو,۱۳۴,۱۴۰۱,۲,۱۴٬۷۴۰٬۰۰۰٬۰۰۰ تومان,۱۱۰٬۰۰۰٬۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، تهران‌نو,https://divar.ir/v/-/QZuZNccW
دروازه شمیران,۱۰۵,۱۳۹۸,۳,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۷۶٬۱۹۰٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، دروازه شمیران,https://divar.ir/v/-/QZycMUAV
چیتگر,,,,,,,,,,تهران,پیش‌فروش ملک,دقایقی پیش در تهران، چیتگر,https://divar.ir/v/-/QZvZkFdR
,۱۳۵,۱۳۹۶,۲,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۸۲۶٬۰۰۰ تومان,,پارکینگ,انباری,,دماوند,فروش خانه و ویلا,دقایقی پیش در دماوند,https://divar.ir/v/-/QZvZ0wAZ
,۷۸,۱۳۸۶,۲,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۸۹۷٬۰۰۰ تومان,۱ از ۵,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZtAjlhN
,۷۵,۱۴۰۱,۲,۱٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۰۰۰٬۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری,پرند,فروش آپارتمان,دقایقی پیش در پرند,https://divar.ir/v/-/QZvZ09l0
