neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
� آپارتمان,دقایقی پیش در تهران، تهران‌سر,https://divar.ir/v/-/QZvRvhsn
,۸۸,۱۴۰۲,۲,۱٬۷۹۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۳۴۰٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZiInoDY
هروی,۱۲۵,۱۳۸۲,۲,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۲۰٬۰۰۰٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، هروی,https://divar.ir/v/-/QZJxgcab
سازمان برنامه,۸۰,۱۳۹۵,۲,۶٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۸۲٬۵۰۰٬۰۰۰ تومان,۲ از ۱۰,آسانسور,پارکینگ,انباری ندارد,تهران,فروش آپارتمان,دقایقی پیش در تهران، سازمان برنامه,https://divar.ir/v/-/QZjhjXXK
نیاوران,۱۲۰,۱۴۰۱,۲,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۸٬۱۸۱٬۰۰۰ تومان,,پارکینگ,انباری,,تهران,فروش خانه و ویلا,دقایقی پیش در تهران، نیاوران,https://divar.ir/v/-/QZrllaAh
هروی,۱۸۱,۱۴۰۱,۳,۲۸٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۷٬۴۵۸٬۰۰۰ تومان,۴ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، هروی,https://divar.ir/v/-/QZi0_Cps
,۵۰,۱۳۹۸,۱,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۱۶۶٬۰۰۰ تومان,,پارکینگ ندارد,انباری ندارد,بالکن ندارد,اسلام‌شهر,فروش خانه و ویلا,دقایقی پیش در اسلام‌شهر,https://divar.ir/v/-/QZc5USdr
,۸۸,۱۴۰۲,۲,۲٬۰۸۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۶۳۶٬۰۰۰ تومان,۳ از ۱۴,آسانسور,پارکینگ,انباری,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZlESNE0
,,,,۳۷۹٬۰۰۰٬۰۰۰ تومان,۱٬۸۱۳٬۰۰۰ تومان,,,,,پردیس,فروش زمین و کلنگی,دقایقی پیش در پردیس,https://divar.ir/v/-/AZ9vcxgM
,۸۸,۱۴۰۲,۲,۱٬۹۳۶٬۰۰۰٬۰۰۰ تومان,۲۲٬۰۰۰٬۰۰۰ تومان,۹ از ۱۴,آسانسور,پارکینگ,انباری,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZlMxRyN
قبا,۱۱۰,۱۳۸۵,۲,۱۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۹٬۰۹۰٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، قبا,https://divar.ir/v/-/QZldb_A2
شهرک غرب,۱۵۰,۱۳۷۱,۳,۲۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۶٬۶۶۶٬۰۰۰ تومان,۳ از ۴,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، شهرک غرب,https://divar.ir/v/-/QZMV9Ycq
,۸۷,۱۴۰۲,۲,۱٬۹۴۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۲۹۸٬۰۰۰ تومان,۴ از ۱۴,آسانسور,پارکینگ,انباری,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZhsmQuj
هوانیروز,,,,توافقی,,,,,,تهران,پیش‌فروش ملک,دقایقی پیش در تهران، هوانیروز,https://divar.ir/v/-/QZvNPx8q
شهرک راه‌آهن,۲۹۰,۱۳۷۸,+۴,۲۸٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۷٬۰۱۹٬۰۰۰ تومان,,پارکینگ,انباری,,تهران,فروش خانه و ویلا,دقایقی پیش در تهران، شهرک راه‌آهن,https://divar.ir/v/-/QZvVvwj8
کوی فردوس,۷۰,۱۳۹۵,۲,۷٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۱۰۲٬۱۴۲٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، کوی فردوس,https://divar.ir/v/-/QZcZFXFw
