neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
,پارکینگ ندارد,انباری ندارد,پرند,فروش آپارتمان,لحظاتی پیش در پرند,https://divar.ir/v/-/QZrRiVrc
سعادت‌آباد,,,,۶۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۰۰٬۰۰۰٬۰۰۰ تومان,,,,,تهران,فروش زمین و کلنگی,لحظاتی پیش در تهران، سعادت‌آباد,https://divar.ir/v/-/QZslUTzr
یوسف‌آباد,۱۱۳,۱۳۹۴,۲,۱۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۰٬۹۷۳٬۰۰۰ تومان,۵ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، یوسف‌آباد,https://divar.ir/v/-/QZT9TgZG
,۸۲,۱۳۹۷,۲,۱٬۳۸۸٬۰۰۰٬۰۰۰ تومان,۱۶٬۹۲۶٬۰۰۰ تومان,همکف,آسانسور,پارکینگ,انباری ندارد,پرند,فروش آپارتمان,لحظاتی پیش در پرند,https://divar.ir/v/-/QZwJxi3M
,,,,۸۷۵٬۰۰۰٬۰۰۰ تومان,۲٬۵۲۱٬۰۰۰ تومان,,,,,رودهن,فروش زمین و کلنگی,لحظاتی پیش در رودهن,https://divar.ir/v/-/QZwJxxIe
یوسف‌آباد,۱۴۰,۱۴۰۲,۳,۲۶٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۱۹۰٬۰۰۰٬۰۰۰ تومان,۱,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، یوسف‌آباد,https://divar.ir/v/-/QZm5PiXT
پامنار,,,,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۹۳٬۲۲۰٬۰۰۰ تومان,,,,,تهران,فروش زمین و کلنگی,لحظاتی پیش در تهران، پامنار,https://divar.ir/v/-/QZwJBpBa
زعفرانیه,۲۶۷,۱۳۸۹,۴,۴۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۷۹٬۷۷۵٬۰۰۰ تومان,۳ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، زعفرانیه,https://divar.ir/v/-/QZjxizj9
زعفرانیه,۱۸۰,۱۳۸۸,۳,۳۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۸۳٬۳۳۳٬۰۰۰ تومان,۵ از ۷,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، زعفرانیه,https://divar.ir/v/-/QZchpIxl
قیطریه,۱۴۰,۱۴۰۰,۲,۲۷٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۱۹۹٬۲۸۵٬۰۰۰ تومان,۲ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، قیطریه,https://divar.ir/v/-/QZQdcXQJ
قنات‌کوثر,۸۳,۱۳۹۱,۲,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۹۶٬۳۸۵٬۰۰۰ تومان,۳ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، قنات‌کوثر,https://divar.ir/v/-/QZwJBpPp
,۱۲۰,۱۳۹۶,۱,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۷٬۵۰۰٬۰۰۰ تومان,,پارکینگ,انباری,,شهریار,فروش خانه و ویلا,دقایقی پیش در شهریار,https://divar.ir/v/-/QZeRR0sr
قیطریه,۱۱۰,۱۴۰۲,۲,۲۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۶,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، قیطریه,https://divar.ir/v/-/QZPRiRmW
,۱۵۰,۱۳۹۶,۲,,,۲ از ۴,آسانسور,پارکینگ,انباری,دماوند,اجارهٔ آپارتمان,دقایقی پیش در دماوند,https://divar.ir/v/-/QZsFHnvR
تسلیحات,۶۰,۱۳۹۴,۱,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۷۵٬۰۰۰٬۰۰۰ تومان,۱ از ۴,آسانسور,پارکینگ,انباری ندارد,تهران,فروش آپارتمان,دقایقی پیش در تهران، تسلیحات,https://divar.ir/v/-/QZwJR0ee
سعادت‌آباد,۱۲۶,۱۳۹۳,۲,,,۲ از ۵,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، سعادت‌آباد,https://divar.ir/v/-/QZHVbrx_
آجودانیه,۱۵۰,۱۳۹۴,۳,۳۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۰۸٬۶۶۶٬۰۰۰ تومان,۱ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، آجودانیه,https://divar.ir/v/-/QZT92_dr
,۱۰۵,۱۴۰۲,۲,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۹٬۰۴۷٬۰۰۰ تومان,۲ از ۵,آسانسور,پارکینگ,انباری,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZb50m0l
شهرک راه‌آهن,۱۷۰,۱۴۰۱,۳,۲۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۱٬۷۶۴٬۰۰۰ تومان,۲ از ۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، شهرک راه‌آهن,https://divar.ir/v/-/QZwBBBpx
چیتگر,۶۰,۱۴۰۲,۱,۹۰۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۰۰۰٬۰۰۰ تومان,۹ از ۲۲,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، چیتگر,https://divar.ir/v/-/QZLdIDMA
,۸۹,۱۳۹۶,۲,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۲۶٬۹۶۶٬۰۰۰ تومان,۱ از ۳,آسانسور,پارکینگ,انباری,اندیشه,فروش آپارتمان,دقایقی پیش در اندیشه,https://divar.ir/v/-/QZP1jh0d
سیدخندان,,,,۹۲٬۶۴۰٬۰۰۰٬۰۰۰ تومان,۲۴۰٬۰۰۰٬۰۰۰ تومان,,,,,تهران,فروش زمین و کلنگی,دقایقی پیش در تهران، سیدخندان,https://divar.ir/v/-/QZuROVq0
آذربایجان,۵۲,۱۴۰۰,۱,۳٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۷۵٬۹۶۱٬۰۰۰ تومان,۱ از ۶,آسانسور,پارکینگ ندارد,انباری ندارد,تهران,فروش آپارتمان,دقایقی پیش در تهران، آذربایجان,https://divar.ir/v/-/QZRtBjpu
امیرآباد,,,,,,,,,,تهران,پیش‌فروش ملک,,https://divar.ir/v/-/QZtt3kYi
فرمانیه,۱۴۵,۱۳۹۶,۳,۲۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۶۲٬۰۶۸٬۰۰۰ تومان,۴,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، فرمانیه,https://divar.ir/v/-/QZwJx38v
شهران جنوبی,۱۰۰,۱۴۰۱,۲,۱۰٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۲٬۰۰۰٬۰۰۰ تومان,۳ از ۶,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، شهران جنوبی,https://divar.ir/v/-/QZu4Ihl1
فتح,,,,,,,,,,تهران,اجارهٔ دفاتر صنعتی، کشاورزی و تجاری,دقایقی پیش در تهران، فتح,https://divar.ir/v/-/QZwFh6TQ
جنت‌آباد جنوبی,۷۴,۱۳۸۵,۲,۵٬۰۸۰٬۰۰۰٬۰۰۰ تومان,۶۸٬۶۴۸٬۰۰۰ تومان,۴ از ۴,آسانسور ندارد,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، جنت‌آباد جنوبی,https://divar.ir/v/-/QZwJx2eK
شهر زیبا,۸۸,۱۳۸۴,۲,۵٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۶۷٬۰۴۵٬۰۰۰ تومان,۲ از ۴,آسانسور ندارد,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، شهر زیبا,https://divar.ir/v/-/QZwJxu4i
,۸۷,۱۳۹۳,۲,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۱۱۴٬۰۰۰ تومان,۵ از ۱۴,آسانسور,پارکینگ,انباری,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZ-MxS4z
