neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
ز ۶,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، پونک,https://divar.ir/v/-/QZktKhFj
سعادت‌آباد,۱۲۶,۱۳۹۴,۳,۱۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۳٬۳۳۳٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، سعادت‌آباد,https://divar.ir/v/-/QZqlfKV0
,۷۴,۱۳۹۲,۱,۵۰۰٬۰۰۰٬۰۰۰ تومان,۶٬۷۵۶٬۰۰۰ تومان,۳ از ۳,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,پیشوا,فروش آپارتمان,لحظاتی پیش در پیشوا,https://divar.ir/v/-/QZf12BBn
,۴۲,۱۳۹۸,۲,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲۶٬۱۹۰٬۰۰۰ تومان,۲ از ۴,آسانسور,پارکینگ,انباری,اندیشه,فروش آپارتمان,لحظاتی پیش در اندیشه,https://divar.ir/v/-/QZjRg0Bg
شهران شمالی,۱۲۰,۱۳۸۸,۲,,,۴ از ۵,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، شهران شمالی,https://divar.ir/v/-/QZtFK5Sy
کوی فردوس,۶۴,۱۳۸۶,۲,۵٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۸۱٬۲۵۰٬۰۰۰ تومان,۳ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، کوی فردوس,https://divar.ir/v/-/QZLhEgNY
,,,,۱۵۰٬۰۰۰٬۰۰۰ تومان,۷۱۴٬۰۰۰ تومان,,,,,دماوند,فروش زمین و کلنگی,دقایقی پیش در دماوند,https://divar.ir/v/-/QZKNnLPL
,۸۷,۱۴۰۲,۲,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۲۸۷٬۰۰۰ تومان,۴,آسانسور,پارکینگ,انباری,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZFQIxOa
سوهانک,۶۰,۱۳۹۴,۱,۸٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۵٬۰۰۰٬۰۰۰ تومان,۲ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، سوهانک,https://divar.ir/v/-/QZZxLP3r
کوی فردوس,۱۷۰,۱۳۹۲,۳,۱۳٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۸۱٬۱۷۶٬۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، کوی فردوس,https://divar.ir/v/-/QZttt2we
چیتگر,۱۲۳,۱۴۰۲,۳,۵٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۵۲۸٬۰۰۰ تومان,۲۷,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، چیتگر,https://divar.ir/v/-/QZwRhfMB
,۱۰۰,۱۴۰۲,۲,۴۸۰٬۰۰۰٬۰۰۰ تومان,۴٬۸۰۰٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,پرند,فروش آپارتمان,دقایقی پیش در پرند,https://divar.ir/v/-/QZY9n3kA
,۷۵,۱۳۹۵,۲,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۶٬۶۶۶٬۰۰۰ تومان,۲,آسانسور,پارکینگ,انباری,قدس,فروش آپارتمان,دقایقی پیش در قدس,https://divar.ir/v/-/QZZBfFTP
,۶۰,۱۳۹۲,۱,۹۵۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۸۳۳٬۰۰۰ تومان,۱,آسانسور ندارد,پارکینگ,انباری,اندیشه,فروش آپارتمان,دقایقی پیش در اندیشه,https://divar.ir/v/-/QZv90JB4
ظفر,۸۰,۱۴۰۲,۲,۱۴٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۱۸۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، ظفر,https://divar.ir/v/-/QZl5NkIg
,۵۰,۱۳۹۲,۱,۶۴۰٬۰۰۰٬۰۰۰ تومان,۱۲٬۸۰۰٬۰۰۰ تومان,,پارکینگ ندارد,انباری,بالکن ندارد,ورامین,فروش خانه و ویلا,دقایقی پیش در ورامین,https://divar.ir/v/-/QZwRhKKJ
میدان انقلاب,۸۲,قبل از ۱۳۷۰,۲,۴٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۵۷٬۳۱۷٬۰۰۰ تومان,۲ از ۴,آسانسور ندارد,پارکینگ ندارد,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، میدان انقلاب,https://divar.ir/v/-/QZoZJaaO
