neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
� و کلنگی,دقایقی پیش در کوهسار,https://divar.ir/v/-/QZXAPZvH
شاهین‌ویلا,۳۰,۱۳۹۶,بدون اتاق,,,,,,,کرج,اجارهٔ مغازه و غرفه,دقایقی پیش در کرج، شاهین‌ویلا,https://divar.ir/v/-/QZpZM7jK
,۸۳,۱۳۹۸,۲,۹۳۰٬۰۰۰٬۰۰۰ تومان,۱۱٬۲۰۴٬۰۰۰ تومان,۱ از ۵,آسانسور,پارکینگ,انباری ندارد,هشتگرد,فروش آپارتمان,دقایقی پیش در هشتگرد,https://divar.ir/v/-/QZXpRQBZ
,,,,۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۵٬۰۶۶٬۰۰۰ تومان,,,,,کوهسار,فروش زمین و کلنگی,دقایقی پیش در کوهسار,https://divar.ir/v/-/QZzQuTvL
مصباح,۸۸,۱۳۸۸,۲,۳٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۲۲۷٬۰۰۰ تومان,۱,آسانسور,پارکینگ,انباری,کرج,فروش آپارتمان,دقایقی پیش در کرج، مصباح,https://divar.ir/v/-/QZwRhc4U
شهر جدید اندیشه,۴۵,۱۳۹۵,۱,۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۲۲۲٬۰۰۰ تومان,۲ از ۳,آسانسور ندارد,پارکینگ,انباری,کرج,فروش آپارتمان,دقایقی پیش در کرج، شهر جدید اندیشه,https://divar.ir/v/-/QZv9Ee9v
باغستان,۸۹,۱۳۸۵,۲,۳٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۸۳۱٬۰۰۰ تومان,۳ از ۵,آسانسور,پارکینگ,انباری,کرج,فروش آپارتمان,دقایقی پیش در کرج، باغستان,https://divar.ir/v/-/QZThCJ-T
شهر جدید اندیشه,۴۷,۱۳۹۵,۱,۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۰۴۲٬۰۰۰ تومان,۲ از ۳,آسانسور ندارد,پارکینگ,انباری,کرج,فروش آپارتمان,دقایقی پیش در کرج، شهر جدید اندیشه,https://divar.ir/v/-/QZwRBxHX
,۹۵,۱۳۹۰,۲,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۱۷٬۸۹۴٬۰۰۰ تومان,۲ از ۴,آسانسور ندارد,پارکینگ,انباری,هشتگرد,فروش آپارتمان,دقایقی پیش در هشتگرد,https://divar.ir/v/-/QZUJHhf7
شاهین‌ویلا,۸۵,۱۳۸۶,۲,۲٬۵۲۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۶۴۷٬۰۰۰ تومان,۱ از ۵,آسانسور ندارد,پارکینگ,انباری,کرج,فروش آپارتمان,دقایقی پیش در کرج، شاهین‌ویلا,https://divar.ir/v/-/QZpp7BNr
مهرشهر - فاز ۴,۶۴,۱۳۸۲,۱,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۵۰۰٬۰۰۰ تومان,۲ از ۴,آسانسور ندارد,پارکینگ,انباری,کرج,فروش آپارتمان,دقایقی پیش در کرج، مهرشهر - فاز ۴,https://divar.ir/v/-/QZopq0gy
باغستان,۱۳۳,۱۴۰۲,۲,,,۶ از ۶,آسانسور,پارکینگ,انباری,کرج,اجارهٔ آپارتمان,دقایقی پیش در کرج، باغستان,https://divar.ir/v/-/QZrBwxA5
,,,,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲٬۲۰۰٬۰۰۰ تومان,,,,,کوهسار,فروش زمین و کلنگی,دقایقی پیش در کوهسار,https://divar.ir/v/-/QZA4hSKi
,,,,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴٬۵۰۰٬۰۰۰ تومان,,,,,کوهسار,فروش زمین و کلنگی,دقایقی پیش در کوهسار,https://divar.ir/v/-/AZwPV_vE
دهقان ویلا,,,,۳۰۰٬۰۰۰٬۰۰۰ تومان,۶۰۰٬۰۰۰ تومان,,,,,کرج,فروش زمین و کلنگی,دقایقی پیش در کرج، دهقان ویلا,https://divar.ir/v/-/QZqt8KvY
,۱,۱۳۹۹,۲,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰٬۰۰۰٬۰۰۰ تومان,,پارکینگ,انباری,,ماهدشت,فروش خانه و ویلا,دقایقی پیش در ماهدشت,https://divar.ir/v/-/QZwRh-_n
,,,,۱٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۳٬۵۰۰٬۰۰۰ تومان,,,,,کوهسار,فروش زمین و کلنگی,دقایقی پیش در کوهسار,https://divar.ir/v/-/QZop3fRX
,,,,۲٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۷٬۸۳۳٬۰۰۰ تومان,,,,,هشتگرد,فروش زمین و کلنگی,دقایقی پیش در هشتگرد,https://divar.ir/v/-/QZwVBIYj
منظریه,۷۵,۱۳۸۹,۱,۲٬۰۸۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۷۳۳٬۰۰۰ تومان,۲ از ۸,آسانسور,پارکینگ,انباری,کرج,فروش آپارتمان,دقایقی پیش در کرج، منظریه,https://divar.ir/v/-/QZwRxeNL
باغستان,۱۳۵,۱۳۹۹,۳,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۴۴۴٬۰۰۰ تومان,۱ از ۵,آسانسور,پارکینگ,انباری,کرج,فروش آپارتمان,دقایقی پیش در کرج، باغستان,https://divar.ir/v/-/QZShCOZn
کوی زنبق,۱۷۶,۱۴۰۰,۴,۸٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۲۹۵٬۰۰۰ تومان,۴ از ۷,آسانسور,پارکینگ,انباری,کرج,فروش آپارتمان,دقایقی پیش در کرج، کوی زنبق,https://divar.ir/v/-/QZwNB9gm
اخترآباد,,,,۱۵۰٬۰۰۰٬۰۰۰ تومان,۷۳۱٬۰۰۰ تومان,,,,,کرج,فروش زمین و کلنگی,دقایقی پیش در کرج، اخترآباد,https://divar.ir/v/-/QZsZbYpM
,۱۰۰,۱۴۰۲,۲,۱٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۱۴٬۰۰۰٬۰۰۰ تومان,۱۱ از ۱۱,آسانسور,پارکینگ,انباری,هشتگرد,فروش آپارتمان,دقایقی پیش در هشتگرد,https://divar.ir/v/-/QZcFs_mA
,,,,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۷٬۵۰۰٬۰۰۰ تومان,,,,,کوهسار,فروش زمین و کلنگی,دقایقی پیش در کوهسار,https://divar.ir/v/-/QZoJoWF3
مهرشهر - فاز ۱,,,,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۷٬۸۷۴٬۰۰۰ تومان,,,,,کرج,فروش زمین و کلنگی,دقایقی پیش در کرج، مهرشهر - فاز ۱,https://divar.ir/v/-/QZwBxJ1e
مهرشهر - فاز ۱,,,,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۷٬۱۱۱٬۰۰۰ تومان,,,,,کرج,فروش زمین و کلنگی,دقایقی پیش در کرج، مهرشهر - فاز ۱,https://divar.ir/v/-/QZw5Qodr
شهریار,,,,۱٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۲٬۳۰۰٬۰۰۰ تومان,,,,,کرج,فروش زمین و کلنگی,دقایقی پیش در کرج، شهریار,https://divar.ir/v/-/QZmJtnR5
,۸۰,۱۳۹۹,۲,۸۴۰٬۰۰۰٬۰۰۰ تومان,۱۰٬۵۰۰٬۰۰۰ تومان,۱ از ۳,آسانسور,پارکینگ,انباری,هشتگرد,فروش آپارتمان,دقایقی پیش در هشتگرد,https://divar.ir/v/-/QZwRRg3p
,۱۱۳,۱۳۹۶,۲,۲٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۲۲۱٬۰۰۰ تومان,۵ از ۶,آسانسور,پارکینگ,انباری,محمدشهر,فروش آپارتمان,دقایقی پیش در محمدشهر,https://divar.ir/v/-/QZs95hih
مشکین‌دشت,,,,۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۳۱۷٬۰۰۰ تومان,,,,,کرج,فروش زمین و کلنگی,دقایقی پیش در کرج، مشکین‌دشت,https://divar.ir/v/-/QZtA3S05
