neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
از ۵,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، هروی,https://divar.ir/v/-/QZwdjX16
وحیدیه,۹۲,۱۴۰۲,۲,۵٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۵۹٬۲۳۹٬۰۰۰ تومان,۶ از ۶,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، وحیدیه,https://divar.ir/v/-/QZq19FF9
ارم,۱۴۰,۱۳۹۸,۳,,,۳ از ۵,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، ارم,https://divar.ir/v/-/QZwRTxm8
,,,,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۳٬۵۷۱٬۰۰۰ تومان,,,,,لواسان,فروش زمین و کلنگی,دقایقی پیش در لواسان,https://divar.ir/v/-/QZwdDaoI
مبارک‌آباد بهشتی,۶۰,۱۴۰۲,۱,۱٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۸۳۳٬۰۰۰ تومان,۳,آسانسور,پارکینگ ندارد,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، مبارک‌آباد بهشتی,https://divar.ir/v/-/QZbtxg5S
شهرک راه‌آهن,۱۷۸,۱۴۰۲,۳,۲۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۳۷٬۶۴۰٬۰۰۰ تومان,۱ از ۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، شهرک راه‌آهن,https://divar.ir/v/-/QZwdTGCs
اباذر,۱۳۰,۱۳۹۰,۳,۱۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,تهران,فروش آپارتمان,لحظاتی پیش در تهران، اباذر,https://divar.ir/v/-/QZwdzbBL
سلسبیل,۶۵,۱۳۹۶,۲,۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۶۴٬۶۱۵٬۰۰۰ تومان,۱,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,تهران,فروش آپارتمان,لحظاتی پیش در تهران، سلسبیل,https://divar.ir/v/-/QZp9NdiF
نارمک,۶۲,۱۳۹۰,۲,,,۱ از ۴,آسانسور ندارد,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، نارمک,https://divar.ir/v/-/QZM145XE
,۱۴۰,۱۴۰۲,۳,۶٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۴۳٬۵۷۱٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری ندارد,قرچک,فروش آپارتمان,دقایقی پیش در قرچک,https://divar.ir/v/-/QZwZjnCW
